title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
수영,심폐지구력,수중운동,전신,성인,,Q9wCecncxAI,https://www.youtube.com/watch?v=Q9wCecncxAI,https://img.youtube.com/vi/Q9wCecncxAI/0.jpg,58,4
앉아서 다리 밀기,근력/근지구력,웨이트기계,허벅지,성인,,S6jlISZMmAs,https://www.youtube.com/watch?v=S6jlISZMmAs,https://img.youtube.com/vi/S6jlISZMmAs/0.jpg,58,5
계단 뛰어 오르기,심폐지구력,수중운동,허벅지,성인,,U-x4nDdbz_g,https://www.youtube.com/watch?v=U-x4nDdbz_g,https://img.youtube.com/vi/U-x4nDdbz_g/0.jpg,58,6
옆구리늘리기,심폐지구력,수중운동,몸통,성인,,HELfvVOZciQ,https://www.youtube.com/watch?v=HELfvVOZciQ,https://img.youtube.com/vi/HELfvVOZciQ/0.jpg,58,7
물누르기/올리기,심폐지구력,수중운동,어깨앞쪽,성인,,ct7jokeWhbE,https://www.youtube.com/watch?v=ct7jokeWhbE,https://img.youtube.com/vi/ct7jokeWhbE/0.jpg,58,8
발 닿기,심폐지구력,수중운동,전신,성인,,D_yiI1aUToc,https://www.youtube.com/watch?v=D_yiI1aUToc,https://img.youtube.com/vi/D_yiI1aUToc/0.jpg,58,9
몸 기울이기/회전하기,심폐지구력,수중운동,전신,성인,,z5b5iA0Ls00,https://www.youtube.com/watch?v=z5b5iA0Ls00,https://img.youtube.com/vi/z5b5iA0Ls00/0.jpg,58,10
엉덩관절 회전하기,심폐지구력,수중운동,몸통,성인,,xClbF2_h8ZA,https://www.youtube.com/watch?v=xClbF2_h8ZA,https://img.youtube.com/vi/xClbF2_h8ZA/0.jpg,58,11
물당기기/밀기,심폐지구력,수중운동,등/몸통,성인,,oCrEf7n419g,https://www.youtube.com/watch?v=oCrEf7n419g,https://img.youtube.com/vi/oCrEf7n419g/0.jpg,58,12
달리기,심폐지구력,맨몸,전신,성인,,fmtLoxbuflw,https://www.youtube.com/watch?v=fmtLoxbuflw,https://img.youtube.com/vi/fmtLoxbuflw/0.jpg,59,1
실내 자전거타기,심폐지구력,자전거,허벅지,성인,,7q4Qz15toLo,https://www.youtube.com/watch?v=7q4Qz15toLo,https://img.youtube.com/vi/7q4Qz15toLo/0.jpg,59,2
